code   Abund   Amass   I1/D0   I2/rdmass     I3         I4     maxcharge
  1    -0.0360 1.008  13.5984   0.000       0.000      0.000      0
  2    -1.1060 4.003  24.5874  54.4178      0.000      0.000      1
  3   -10.88   6.941   5.3917  75.6400    122.4543     0.000      1
  4   -10.89   9.012   9.3227  18.2111    153.8966   217.7187     1
  5    -9.25  10.811   8.2980  25.1548     37.9306   259.3752     1
  6    -3.49  12.011  11.2603  24.3833     47.8878    64.4939     3
  7    -4.07  14.007  14.5341  29.6013     47.4492    77.4735     3
  8    -3.17  15.999  13.6181  35.1211     54.9355    77.4135     3
  9    -7.56  18.998  17.4228  34.9708     62.7084    87.1398     1
 10    -3.96  20.180  21.5646  40.9630     63.4551    97.1168     1
 11    -5.71  22.990   5.1391  47.2864     71.6200    98.91       3
 12    -4.46  24.305   7.6462  15.0353     80.1437   109.2655     3
 13    -5.57  26.982   5.9858  18.8286     28.4477   119.992      3
 14    -4.49  28.086   8.1517  16.3458     33.4930    45.1418     3
 15    -6.59  30.974  10.4867  19.7695     30.2027    51.4439     2
 16    -4.71  32.065  10.3600  23.3379     34.79      47.2219     3
 17    -6.76  35.453  12.9676  23.8136     39.9105    53.4652     1
 18    -5.52  39.948  15.7596  27.6296     40.7350    59.6860     1
 19    -6.92  39.098   4.3407  31.6284     45.8060    60.9134     3
 20    -5.68  40.078   6.1132  11.8717     50.9131    67.27       3
 21    -8.87  44.956   6.5615  12.7998     24.7567    73.4894     2
 22    -7.02  47.867   6.8281  13.5755     27.4917    43.2672     2
 23    -8.04  50.942   6.7462  14.6549     29.3111    46.7086     2
 24    -6.37  51.996   6.7665  16.4857     30.9589    49.1597     2
 25    -6.65  54.938   7.4340  15.6400     33.668     51.2        2
 26    -4.54  55.845   7.9024  16.1877     30.6514    54.8010     3
 27    -7.12  58.933   7.8810  17.0844     33.50      51.27       2
 28    -5.79  58.693   7.6398  18.1688     35.1867    54.9250     2
 29    -7.83  63.546   7.7264  20.2924     36.8407    57.3799     2
 30    -7.44  65.409   9.3942  17.9644     39.7233    59.5732     2
 31    -9.16  69.723   5.9993  20.5151     30.7258    63.2406     2
 32    -8.63  72.64    7.8994  15.9346     34.0576    45.7155     2
 33    -9.67  74.922   9.7886  18.5892     28.351     50.13       1
 34    -8.66  78.96    9.7524  21.1889     30.8204    42.9450     1
 35    -9.41  79.904  11.8138  21.591      36.        47.3        1
 36    -8.81  83.798  13.9996  24.35984    36.9498    52.4949     1
 37    -9.44  85.468   4.1771  27.28954    39.0178    52.1973     1
 38    -9.07  87.62    5.6949  11.0301     42.89      57.         1
 39    -9.80  88.906   6.2173  12.22       20.52      60.597      1
 40    -9.44  91.224   6.6339  13.13       23.1702    34.4184     1
 41   -10.62  92.906   6.7589  14.0        25.04      38.3        1
 42   -10.12  95.94    7.0924  16.1551     27.1277    46.3701     1
 43   -20.00  98.      7.28    15.26       29.54      46.         1
 44   -10.20  101.07   7.3605  16.76       28.47      50.         1
 45   -10.92  102.906  7.4589  18.08       31.06      48.         1
 46   -10.35  106.42   8.3369  19.43       32.93      53.         1
 47   -10.80  107.868  7.5762  21.47746    34.83      56.         1
 48   -10.27  112.411  8.9938  16.90831    37.48      59.         1
 49   -11.22  114.818  5.7864  18.8703     28.03      54.4        1
 50    -9.90  118.710  7.3439  14.6322     30.5026    48.73502    1
 51   -11.01  121.760  8.6084  16.63       25.3       44.2        1
 52    -9.80  127.60   9.0096  18.6        27.96      37.41       1
 53   -10.53  126.904 10.4513  19.1313     33.        42.         1
 54    -9.81  131.293 12.1298  20.9750     32.1230    46.         1
 55   -10.91  132.905  3.8939  23.15744    35.        46.         1
 56    -9.91  137.327  5.2117  10.00383    35.84      49.         1
 57   -10.87  138.906  5.5769  11.059      19.1773    49.9532     1
 58   -10.46  140.116  5.5387  10.849      20.1974    36.7576     1
 59   -11.33  140.908  5.4640  10.551      21.6237    38.98       1
 60   -10.54  144.24   5.5250  10.725      22.1436    40.4188     1
 61   -20.00  145.     5.5545  10.8982     22.3       41.1        1
 62   -11.03  150.36   5.6436  11.072      23.4       41.4        1
 63   -11.53  151.964  5.6704  11.241      24.9208    42.6506     1
 64   -10.92  157.25   6.1498  12.088      20.6310    44.0144     1
 65   -11.69  158.925  5.8638  11.518      21.9080    39.79       1
 66   -10.90  162.500  5.9388  11.667      22.8       41.47       1
 67   -11.53  164.930  6.0215  11.803      22.8379    42.5        1
 68   -11.11  167.259  6.1077  11.927      22.7387    42.7        1
 69   -11.89  168.934  6.1843  11.493      23.6810    42.7        1
 70   -10.96  173.04   6.2539  12.184      25.0535    43.56       1
 71   -11.91  174.967  5.4258  13.8862     20.9594    45.25       1
 72   -11.16  178.49   6.8251  15.         23.3       33.33       1
 73   -12.17  180.948  7.5496  16.         22.        33.         1
